title,opening_weekend,foreign_gross,release_date,posts_score,comments_score
The Best Man Holiday,30107555,1100000,2013-11-15,5405,18840
The Other Boleyn Girl,8203061,50898909,2008-02-29,57,284
Oblivion,37054485,197061337,2013-04-19,3705,15586
The Last Song,16007426,26091272,2010-03-31,668,5909
My Father My Lord,24096,367858,2008-05-16,4684,15834
John Carter,30180188,211061000,2012-03-09,4336,10005
The Bourne Legacy,38142825,162940880,2012-08-10,1715,5878
Deception,2312146,13142792,2008-04-25,360,2433
Sleep Dealer,35050,27423,2009-04-17,8,0
The Hottie & the Nottie,27696,1568536,2008-02-08,63,1401
About Last Night,25649011,365000,2014-02-14,9127,41552
The Hunger Games,152535747,283237076,2012-03-23,14737,123284
27 Dresses,23007725,83450665,2008-01-18,75,687
Edge of Tomorrow,28760246,269000000,2014-06-06,15850,83664
Killers,15837266,51100000,2010-06-04,14616,42381
Eat Pray Love,23104523,124020006,2010-08-13,179,1916
Babylon A.D.,9484627,49576036,2008-08-29,2162,2308
A Secret,37135,15808353,2008-09-05,20288,136411
Soul Men,5401605,249246,2008-11-07,152,1008
The Family,14034764,41500000,2013-09-13,19195,141739
Call of the Wild 3D,10713,241528,2009-06-12,0,20
Tyler Perry Presents Peeples,4611534,130000,2013-05-10,112,384
Chasing Mavericks,2268274,630,2012-10-26,6,11
End of Watch,13152683,7123013,2012-09-21,2903,15629
Never Back Down,8603195,16776509,2008-03-14,577,14056
Cloudy with a Chance of Meatballs,30304648,118135851,2009-09-18,872,1900
Man on a Ledge,8001932,27601189,2012-01-27,1955,4431
New York,467694,938383,2009-06-26,16650,70532
Fury,23702421,126000000,2014-10-17,28950,179338
Kevin Hart: Let Me Explain,10030463,74000,2013-07-03,114,185
Paranormal Activity 2,40678424,92759125,2010-10-22,154,2253
Raiders of the Lost Ark,1673731,,2012-09-07,16967,49039
Chappie,13346782,49100000,2015-03-06,19612,69065
The Fighter,300010,35573860,2010-12-10,2922,31333
Dylan Dog: Dead of Night,754779,3447524,2011-04-29,126,2850
Street Kings,12469631,39154220,2008-04-11,203,2303
Vampires Suck,12202831,43886362,2010-08-18,376,1748
Mad Money,7736452,5743320,2008-01-18,396,4695
The Amazing Spider-Man 2,91608337,506128390,2014-05-02,16225,146393
Smart People,4092465,2332315,2008-04-11,327,2517
Django Unchained,30122888,262562804,2012-12-25,21267,114639
21 Jump Street,36302612,63137661,2012-03-16,4132,17348
Super 8,35451168,133091807,2011-06-10,2043,6654
Real Steel,27319677,213800000,2011-10-07,3241,16708
Love Aaj Kal,1241762,18364902,2009-07-31,0,3
Ballerina,2656,16953,2009-01-16,70,409
No Impact Man,15215,16321,2009-09-11,3915,11391
The Adjustment Bureau,21157730,65373734,2011-03-04,471,3458
Diary of a Wimpy Kid: Rodrick Rules,23751502,19718859,2011-03-25,62,240
Jupiter Ascending,18372372,134500000,2015-02-06,3793,20597
Rudo Y Cursi,211460,9341572,2009-05-08,1,31
Black Swan,1443809,222443368,2010-12-03,2723,7290
"Synecdoche, New York",172194,1310143,2008-10-24,898,7858
House at the End of The Street,12287234,7850222,2012-09-21,22,36
Black Dynamite,131862,53979,2009-10-16,4644,11911
The Call,17118745,16700000,2013-03-15,27387,165149
Godzilla,93188384,328000000,2014-05-16,14806,198739
Paranormal Activity,77873,85436990,2009-09-25,1001,8653
Diary of a Wimpy Kid: Dog Days,14623599,28103514,2012-08-03,3,10
Dawn of the Planet of the Apes,72611427,500290000,2014-07-11,24156,118151
Surveillance,4590,1088144,2009-06-26,1616,11417
Extract,4340108,25625,2009-09-04,640,11924
London to Brighton,6700,442981,2008-02-08,14,3
Insidious,13271464,43000000,2011-04-01,1147,3406
